Label,CAT12_Voxel,CAT12_Volume,my_Voxels),my_Volume
Left-Accumbens,151,0.51,151,0.509625
Left-Amygdala,348,1.17,348,1.1745
Left-Angular-Gyrus,4470,15.09,7999,26.996625
Left-Anterior-Cingulate-Gyrus,2072,6.99,4053,13.678875
Left-Anterior-Insula,1630,5.5,2847,9.608625
Left-Anterior-Orbital-Gyrus,829,2.8,1680,5.67
Left-Basal-Cerebrum-and-Forebrain-Brain,169,0.57,377,1.272375
Left-Brainstem,3759,12.69,4800,16.2
Left-Calcarine-and-Cerebrum,1540,5.2,3247,10.958625
Left-Caudate,1174,3.96,1174,3.96225
Left-Central-Operculum,1712,5.78,3408,11.502
Left-Cerebellar-Lobule-Cerebellar-Vermal-Lobules-I-V,1136,3.83,1246,4.20525
Left-Cerebellar-Lobule-Cerebellar-Vermal-Lobules-VI-VII,492,1.66,521,1.758375
Left-Cerebellar-Lobule-Cerebellar-Vermal-Lobules-VIII-X,579,1.95,618,2.08575
Left-Cerebellum-White-Matter,5239,17.68,5532,18.6705
Left-Cerebral-White-Matter,85196,287.54,17326,58.47525
Left-Cerebrum-and-Motor,2860,9.65,4850,16.36875
Left-CSF,199,0.67,409,1.380375
Left-Cuneus,2146,7.24,3374,11.38725
Left-Entorhinal-Area,825,2.78,1853,6.253875
Left-Exterior-Cerebellum,22581,76.21,28033,94.611375
Left-Fourth-Ventricle,285,0.96,285,0.961875
Left-Frontal-Operculum,752,2.54,1749,5.902875
Left-Frontal-Pole,1737,5.86,3197,10.789875
Left-Fusiform-Gyrus,3242,10.94,5741,19.375875
Left-Hippocampus,1258,4.25,1258,4.24575
Left-Inferior-Frontal-Angular-Gyrus,1419,4.79,2885,9.736875
Left-Inferior-Frontal-Gyrus,1486,5.02,2970,10.02375
Left-Inferior-Frontal-Orbital-Gyrus,610,2.06,1362,4.59675
Left-Inferior-Occipital-Gyrus,3028,10.22,5521,18.633375
Left-Inferior-Temporal-Gyrus,5158,17.41,9013,30.418875
Left-Lateral-Orbital-Gyrus,970,3.27,1961,6.618375
Left-Lateral-Ventricle,3468,11.7,3468,11.7045
Left-Lingual-Gyrus,3564,12.03,5598,18.89325
Left-Medial-Frontal-Cerebrum,717,2.42,1178,3.97575
Left-Medial-Orbital-Gyrus,2035,6.87,3906,13.18275
Left-Medial-Postcentral-Gyrus,613,2.07,971,3.277125
Left-Medial-Precentral-Gyrus,1393,4.7,2472,8.343
Left-Middle-Cingulate-Gyrus,1894,6.39,3684,12.4335
Left-Middle-Frontal-Gyrus,9325,31.47,17922,60.48675
Left-Middle-Occipital-Gyrus,2884,9.73,4858,16.39575
Left-Middle-Temporal-Gyrus,6364,21.48,11111,37.499625
Left-Occipital-Fusiform-Gyrus,1570,5.3,2565,8.656875
Left-Occipital-Pole,2122,7.16,4141,13.975875
Left-Pallidum,519,1.75,519,1.751625
Left-Parahippocampus-Gyrus,1455,4.91,2234,7.53975
Left-Parietal-Operculum,970,3.27,2304,7.776
Left-Planum-Polare,806,2.72,1879,6.341625
Left-Postcentral-Gyrus,6053,20.43,11294,38.11725
Left-Posterior-Cingulate-Gyrus,1919,6.48,3832,12.933
Left-Posterior-Insula,705,2.38,1433,4.836375
Left-Posterior-Orbital-Gyrus,1278,4.31,2000,6.75
Left-Precentral-Gyrus,6250,21.09,12522,42.26175
Left-Precuneus,5274,17.8,8491,28.657125
Left-Putamen,1417,4.78,1417,4.782375
Left-Subcallosal-Area,568,1.92,942,3.17925
Left-Superior-Frontal-Gyrus,7435,25.09,13967,47.138625
Left-Superior-Medial-Frontal-Gyrus,3039,10.26,4880,16.47
Left-Superior-Occipital-Gyrus,1603,5.41,3099,10.459125
Left-Superior-Parietal-Lobule,5620,18.97,10000,33.75
Left-Superior-Temporal-Gyrus,2966,10.01,5163,17.425125
Left-Supramarginal-Gyrus,4084,13.78,7374,24.88725
Left-Temporal,843,2.85,1643,5.545125
Left-Temporal-Pole,4165,14.06,7205,24.316875
Left-Temporal-Transverse-Gyrus,541,1.83,1050,3.54375
Left-Thalamus-Proper,2931,9.89,2931,9.892125
Left-Third-Ventricle,152,0.51,152,0.513
Left-Ventral-Ventricle,2119,7.15,2119,7.151625
Right-Accumbens,154,0.52,154,0.51975
Right-Amygdala,351,1.18,351,1.184625
Right-Angular-Gyrus,5211,17.59,8936,30.159
Right-Anterior-Cingulate-Gyrus,1462,4.93,3060,10.3275
Right-Anterior-Insula,1679,5.67,2875,9.703125
Right-Anterior-Orbital-Gyrus,814,2.75,1744,5.886
Right-Basal-Cerebrum-and-Forebrain-Brain,193,0.65,407,1.373625
Right-Brainstem,4148,14,5935,20.030625
Right-Calcarine-and-Cerebrum,1428,4.82,3208,10.827
Right-Caudate,1283,4.33,1283,4.330125
Right-Central-Operculum,1804,6.09,3333,11.248875
Right-Cerebellar-Lobule-Cerebellar-Vermal-Lobules-I-V,1020,3.44,1084,3.6585
Right-Cerebellar-Lobule-Cerebellar-Vermal-Lobules-VI-VII,460,1.55,471,1.589625
Right-Cerebellar-Lobule-Cerebellar-Vermal-Lobules-VIII-X,474,1.6,475,1.603125
Right-Cerebellum-White-Matter,4769,16.1,4989,16.837875
Right-Cerebral-White-Matter,83377,281.4,16760,56.565
Right-Cerebrum-and-Motor,2644,8.92,4566,15.41025
Right-CSF,207,0.7,419,1.414125
Right-Cuneus,2214,7.47,3540,11.9475
Right-Entorhinal-Area,899,3.03,1858,6.27075
Right-Exterior-Cerebellum,22289,75.23,28367,95.738625
Right-Fourth-Ventricle,303,1.02,303,1.022625
Right-Frontal-Operculum,788,2.66,1652,5.5755
Right-Frontal-Pole,2044,6.9,3670,12.38625
Right-Fusiform-Gyrus,3310,11.17,5602,18.90675
Right-Hippocampus,1411,4.76,1411,4.762125
Right-Inferior-Frontal-Angular-Gyrus,1521,5.13,2950,9.95625
Right-Inferior-Frontal-Gyrus,1600,5.4,3035,10.243125
Right-Inferior-Frontal-Orbital-Gyrus,616,2.08,1340,4.5225
Right-Inferior-Lateral-Ventricle,7,0.02,7,0.023625
Right-Inferior-Occipital-Gyrus,3143,10.61,5898,19.90575
Right-Inferior-Temporal-Gyrus,5475,18.48,9485,32.011875
Right-Lateral-Orbital-Gyrus,973,3.28,1995,6.733125
Right-Lateral-Ventricle,2947,9.95,2947,9.946125
Right-Lingual-Gyrus,3692,12.46,5762,19.44675
Right-Medial-Frontal-Cerebrum,759,2.56,1194,4.02975
Right-Medial-Orbital-Gyrus,1920,6.48,3938,13.29075
Right-Medial-Postcentral-Gyrus,610,2.06,1058,3.57075
Right-Medial-Precentral-Gyrus,1283,4.33,2500,8.4375
Right-Middle-Cingulate-Gyrus,1824,6.16,3742,12.62925
Right-Middle-Frontal-Gyrus,9190,31.02,17564,59.2785
Right-Middle-Occipital-Gyrus,2269,7.66,3826,12.91275
Right-Middle-Temporal-Gyrus,6493,21.91,11149,37.627875
Right-Occipital-Fusiform-Gyrus,1552,5.24,2707,9.136125
Right-Occipital-Pole,1767,5.96,3646,12.30525
Right-Optic-Chiasm,10,0.03,42,0.14175
Right-Pallidum,520,1.75,520,1.755
Right-Parahippocampus-Gyrus,1458,4.92,2296,7.749
Right-Parietal-Operculum,858,2.9,2053,6.928875
Right-Planum-Polare,769,2.6,1465,4.944375
Right-Postcentral-Gyrus,5565,18.78,10227,34.516125
Right-Posterior-Cingulate-Gyrus,1610,5.43,3426,11.56275
Right-Posterior-Insula,829,2.8,1749,5.902875
Right-Posterior-Orbital-Gyrus,1252,4.23,1931,6.517125
Right-Precentral-Gyrus,6283,21.21,12209,41.205375
Right-Precuneus,5066,17.1,8586,28.97775
Right-Putamen,1388,4.68,1388,4.6845
Right-Subcallosal-Area,510,1.72,895,3.020625
Right-Superior-Frontal-Gyrus,7255,24.49,14093,47.563875
Right-Superior-Medial-Frontal-Gyrus,3473,11.72,6036,20.3715
Right-Superior-Occipital-Gyrus,2027,6.84,3889,13.125375
Right-Superior-Parietal-Lobule,5519,18.63,9828,33.1695
Right-Superior-Temporal-Gyrus,3341,11.28,5668,19.1295
Right-Supramarginal-Gyrus,3850,12.99,6791,22.919625
Right-Temporal,826,2.79,1413,4.768875
Right-Temporal-Pole,4337,14.64,7276,24.5565
Right-Thalamus-Proper,2792,9.42,2792,9.423
Right-Third-Ventricle,111,0.37,111,0.374625
Right-Ventral-Ventricle,2004,6.76,2004,6.7635
