Label,CAT12_Voxel,CAT12_Volume,my_index,my_Voxels,my_volume
Left-Third-Ventricle,152,0.51,1,152,0.513
Right-Third-Ventricle,111,0.37,2,111,0.374625
Left-Fourth-Ventricle,285,0.96,3,285,0.961875
Right-Fourth-Ventricle,303,1.02,4,303,1.022625
Left-Accumbens,151,0.51,5,151,0.509625
Right-Accumbens,154,0.52,6,154,0.51975
Left-Amygdala,348,1.17,7,348,1.1745
Right-Amygdala,351,1.18,8,351,1.184625
Left-Brainstem,3759,12.69,9,4800,16.2
Right-Brainstem,4148,14,10,5935,20.030625
Left-Caudate,1174,3.96,11,1174,3.96225
Right-Caudate,1283,4.33,12,1283,4.330125
Left-Exterior-Cerebellum,22581,76.21,13,28033,94.611375
Right-Exterior-Cerebellum,22289,75.23,14,28367,95.738625
Left-Cerebellum-White-Matter,5239,17.68,15,5532,18.6705
Right-Cerebellum-White-Matter,4769,16.1,16,4989,16.837875
Left-Cerebral-White-Matter,85196,287.54,17,17326,58.47525
Right-Cerebral-White-Matter,83377,281.4,18,16760,56.565
Left-CSF,199,0.67,19,409,1.380375
Right-CSF,207,0.7,20,419,1.414125
Left-Hippocampus,1258,4.25,21,1258,4.24575
Right-Hippocampus,1411,4.76,22,1411,4.762125
Right-Inferior-Lateral-Ventricle,7,0.02,24,7,0.023625
Left-Lateral-Ventricle,3468,11.7,25,3468,11.7045
Right-Lateral-Ventricle,2947,9.95,26,2947,9.946125
Left-Pallidum,519,1.75,27,519,1.751625
Right-Pallidum,520,1.75,28,520,1.755
Left-Putamen,1417,4.78,29,1417,4.782375
Right-Putamen,1388,4.68,30,1388,4.6845
Left-Thalamus-Proper,2931,9.89,31,2931,9.892125
Right-Thalamus-Proper,2792,9.42,32,2792,9.423
Left-Ventral-Ventricle,2119,7.15,33,2119,7.151625
Right-Ventral-Ventricle,2004,6.76,34,2004,6.7635
Right-Optic-Chiasm,10,0.03,36,42,0.14175
Left-Cerebellar-Lobule-Cerebellar-Vermal-Lobules-I-V,1136,3.83,37,1246,4.20525
Right-Cerebellar-Lobule-Cerebellar-Vermal-Lobules-I-V,1020,3.44,38,1084,3.6585
Left-Cerebellar-Lobule-Cerebellar-Vermal-Lobules-VI-VII,492,1.66,39,521,1.758375
Right-Cerebellar-Lobule-Cerebellar-Vermal-Lobules-VI-VII,460,1.55,40,471,1.589625
Left-Cerebellar-Lobule-Cerebellar-Vermal-Lobules-VIII-X,579,1.95,41,618,2.08575
Right-Cerebellar-Lobule-Cerebellar-Vermal-Lobules-VIII-X,474,1.6,42,475,1.603125
Left-Basal-Cerebrum-and-Forebrain-Brain,169,0.57,43,377,1.272375
Right-Basal-Cerebrum-and-Forebrain-Brain,193,0.65,44,407,1.373625
Left-Anterior-Cingulate-Gyrus,2072,6.99,45,4053,13.678875
Right-Anterior-Cingulate-Gyrus,1462,4.93,46,3060,10.3275
Left-Anterior-Insula,1630,5.5,47,2847,9.608625
Right-Anterior-Insula,1679,5.67,48,2875,9.703125
Left-Anterior-Orbital-Gyrus,829,2.8,49,1680,5.67
Right-Anterior-Orbital-Gyrus,814,2.75,50,1744,5.886
Left-Angular-Gyrus,4470,15.09,51,7999,26.996625
Right-Angular-Gyrus,5211,17.59,52,8936,30.159
Left-Calcarine-and-Cerebrum,1540,5.2,53,3247,10.958625
Right-Calcarine-and-Cerebrum,1428,4.82,54,3208,10.827
