ROI,CAT12_Voxel,CAT12_Volume
Background,1608701,5429.37
Left Accumbens,151,0.51
Left Amygdala,348,1.17
Left Angular Gyrus,4470,15.09
Left Anterior Cingulate Gyrus,2072,6.99
Left Anterior Insula,1630,5.5
Left Anterior Orbital Gyrus,829,2.8
Left Basal Cerebrum and Forebrain Brain,169,0.57
Left Brainstem,3759,12.69
Left Calcarine and Cerebrum,1540,5.2
Left Caudate,1174,3.96
Left Central Operculum,1712,5.78
Left Cerebellar Lobule Cerebellar Vermal Lobules I-V,1136,3.83
Left Cerebellar Lobule Cerebellar Vermal Lobules VIII-X,579,1.95
Left Cerebellar Lobule Cerebellar Vermal Lobules VI-VII,492,1.66
Left Cerebellum White Matter,5239,17.68
Left Cerebral White Matter,85196,287.54
Left Cerebrum and Motor,2860,9.65
Left CSF,199,0.67
Left Cuneus,3374,11.38
Left Entorhinal Area,825,2.78
Left Exterior Cerebellum,22581,76.21
Left Fourth Ventricle,285,0.96
Left Frontal Operculum,752,2.54
Left Frontal Pole,1737,5.86
Left Fusiform Gyrus,5741,19.375
Left Gyrus Rectus,983,3.32
Left Hippocampus,1258,4.25
Left Inferior Frontal Angular Gyrus,1419,4.79
Left Inferior Frontal Gyrus,1486,5.02
Left Inferior Frontal Orbital Gyrus,610,2.06
Left Inferior Lateral Ventricle,0,0
Left Inferior Occipital Gyrus,3028,10.22
Left Inferior Temporal Gyrus,5158,17.41
Left Lateral Orbital Gyrus,970,3.27
Left Lateral Ventricle,3468,11.7
Left Lingual Gyrus,3564,12.03
Left Medial Frontal Cerebrum,717,2.42
Left Medial Orbital Gyrus,2035,6.87
Left Medial Postcentral Gyrus,613,2.07
Left Medial Precentral Gyrus,1393,4.7
Left Middle Cingulate Gyrus,1894,6.39
Left Middle Frontal Gyrus,9325,31.47
Left Middle Occipital Gyrus,2884,9.73
Left Middle Temporal Gyrus,6364,21.48
Left Occipital Fusiform Gyrus,1570,5.3
Left Occipital Pole,2122,7.16
Left Optic Chiasm,0,0
Left Pallidum,519,1.75
Left Parahippocampus Gyrus,1455,4.91
Left Parietal Operculum,970,3.27
Left Planum Polare,806,2.72
Left Postcentral Gyrus,6053,20.43
Left Posterior Cingulate Gyrus,1919,6.48
Left Posterior Insula,705,2.38
Left Posterior Orbital Gyrus,1278,4.31
Left Precentral Gyrus,6250,21.09
Left Precuneus,5274,17.8
Left Putamen,1417,4.78
Left Subcallosal Area,568,1.92
Left Superior Frontal Gyrus,7435,25.09
Left Superior Medial Frontal Gyrus,3039,10.26
Left Superior Occipital Gyrus,1603,5.41
Left Superior Parietal Lobule,5620,18.97
Left Superior Temporal Gyrus,2966,10.01
Left Supramarginal Gyrus,4084,13.78
Left Temporal,843,2.85
Left Temporal Pole,4165,14.06
Left Temporal Transverse Gyrus,541,1.83
Left Thalamus Proper,2931,9.89
Left Third Ventricle,152,0.51
Left Ventral Ventricle,2119,7.15
Right Accumbens,154,0.52
Right Amygdala,351,1.18
Right Angular Gyrus,5211,17.59
Right Anterior Cingulate Gyrus,1462,4.93
Right Anterior Insula,1679,5.67
Right Anterior Orbital Gyrus,814,2.75
Right Basal Cerebrum and Forebrain Brain,193,0.65
Right Brainstem,4148,14
Right Calcarine and Cerebrum,1428,4.82
Right Caudate,1283,4.33
Right Central Operculum,1804,6.09
Right Cerebellar Lobule Cerebellar Vermal Lobules I-V,1020,3.44
Right Cerebellar Lobule Cerebellar Vermal Lobules VIII-X,474,1.6
Right Cerebellar Lobule Cerebellar Vermal Lobules VI-VII,460,1.55
Right Cerebellum White Matter,4769,16.1
Right Cerebral White Matter,83377,281.4
Right Cerebrum and Motor,2644,8.92
Right CSF,207,0.7
Right Cuneus,3540,11.9475
Right Entorhinal Area,899,3.03
Right Exterior Cerebellum,22289,75.23
Right Fourth Ventricle,303,1.02
Right Frontal Operculum,788,2.66
Right Frontal Pole,2044,6.9
Right Fusiform Gyrus,5602,18.91
Right Gyrus Rectus,992,3.35
Right Hippocampus,1411,4.76
Right Inferior Frontal Angular Gyrus,1521,5.13
Right Inferior Frontal Gyrus,1600,5.4
Right Inferior Frontal Orbital Gyrus,616,2.08
Right Inferior Lateral Ventricle,7,0.02
Right Inferior Occipital Gyrus,3143,10.61
Right Inferior Temporal Gyrus,5475,18.48
Right Lateral Orbital Gyrus,973,3.28
Right Lateral Ventricle,2947,9.95
Right Lingual Gyrus,3692,12.46
Right Medial Frontal Cerebrum,759,2.56
